Population,Plant,Trait,TransplantSite,TraitValue
AspenValley,3969-1,StemLength,Stanford,47
AspenValley,3969-1,StemLength,Mather,39
AspenValley,3969-1,StemLength,Timberline,39
AspenValley,3969-1,NumStems,Stanford,5
AspenValley,3969-1,NumStems,Mather,7
AspenValley,3969-1,NumStems,Timberline,2
AspenValley,3969-2,StemLength,Stanford,58
AspenValley,3969-2,StemLength,Mather,66
AspenValley,3969-2,StemLength,Timberline,0
AspenValley,3969-2,NumStems,Stanford,3.3
AspenValley,3969-2,NumStems,Mather,4.3
AspenValley,3969-2,NumStems,Timberline,0
AspenValley,3969-3,StemLength,Stanford,71
AspenValley,3969-3,StemLength,Mather,51
AspenValley,3969-3,StemLength,Timberline,23
AspenValley,3969-3,NumStems,Stanford,8
AspenValley,3969-3,NumStems,Mather,13.3
AspenValley,3969-3,NumStems,Timberline,1.7
AspenValley,3969-4,StemLength,Stanford,44
AspenValley,3969-4,StemLength,Mather,52
AspenValley,3969-4,StemLength,Timberline,25
AspenValley,3969-4,NumStems,Stanford,2.3
AspenValley,3969-4,NumStems,Mather,10.7
AspenValley,3969-4,NumStems,Timberline,2.3
AspenValley,3969-5,StemLength,Stanford,56
AspenValley,3969-5,StemLength,Mather,46
AspenValley,3969-5,StemLength,Timberline,20
AspenValley,3969-5,NumStems,Stanford,2.7
AspenValley,3969-5,NumStems,Mather,5
AspenValley,3969-5,NumStems,Timberline,0.7
AspenValley,3969-6,StemLength,Stanford,41
AspenValley,3969-6,StemLength,Mather,39
AspenValley,3969-6,StemLength,Timberline,29
AspenValley,3969-6,NumStems,Stanford,13.7
AspenValley,3969-6,NumStems,Mather,19.5
AspenValley,3969-6,NumStems,Timberline,5.3
AspenValley,3969-7,StemLength,Stanford,65
AspenValley,3969-7,StemLength,Mather,43
AspenValley,3969-7,StemLength,Timberline,25
AspenValley,3969-7,NumStems,Stanford,4
AspenValley,3969-7,NumStems,Mather,3.7
AspenValley,3969-7,NumStems,Timberline,2.3
AspenValley,3969-8,StemLength,Stanford,0
AspenValley,3969-8,StemLength,Mather,46
AspenValley,3969-8,StemLength,Timberline,31
AspenValley,3969-8,NumStems,Stanford,0
AspenValley,3969-8,NumStems,Mather,8.3
AspenValley,3969-8,NumStems,Timberline,2.7
AspenValley,3969-9,StemLength,Stanford,41
AspenValley,3969-9,StemLength,Mather,43
AspenValley,3969-9,StemLength,Timberline,14
AspenValley,3969-9,NumStems,Stanford,5
AspenValley,3969-9,NumStems,Mather,10
AspenValley,3969-9,NumStems,Timberline,1.3
AspenValley,3969-10,StemLength,Stanford,37
AspenValley,3969-10,StemLength,Mather,55
AspenValley,3969-10,StemLength,Timberline,34
AspenValley,3969-10,NumStems,Stanford,0.7
AspenValley,3969-10,NumStems,Mather,5
AspenValley,3969-10,NumStems,Timberline,3.3
AspenValley,3969-11,StemLength,Stanford,36
AspenValley,3969-11,StemLength,Mather,63
AspenValley,3969-11,StemLength,Timberline,33
AspenValley,3969-11,NumStems,Stanford,4
AspenValley,3969-11,NumStems,Mather,10.7
AspenValley,3969-11,NumStems,Timberline,2.3
AspenValley,3969-12,StemLength,Stanford,0
AspenValley,3969-12,StemLength,Mather,76
AspenValley,3969-12,StemLength,Timberline,0
AspenValley,3969-12,NumStems,Stanford,0
AspenValley,3969-12,NumStems,Mather,3.3
AspenValley,3969-12,NumStems,Timberline,0
AspenValley,3969-13,StemLength,Stanford,35
AspenValley,3969-13,StemLength,Mather,55
AspenValley,3969-13,StemLength,Timberline,34
AspenValley,3969-13,NumStems,Stanford,1.7
AspenValley,3969-13,NumStems,Mather,20.7
AspenValley,3969-13,NumStems,Timberline,2.3
AspenValley,3969-14,StemLength,Stanford,54
AspenValley,3969-14,StemLength,Mather,68
AspenValley,3969-14,StemLength,Timberline,26
AspenValley,3969-14,NumStems,Stanford,12.7
AspenValley,3969-14,NumStems,Mather,49.3
AspenValley,3969-14,NumStems,Timberline,0.7
AspenValley,3969-15,StemLength,Stanford,15
AspenValley,3969-15,StemLength,Mather,41
AspenValley,3969-15,StemLength,Timberline,23
AspenValley,3969-15,NumStems,Stanford,0.3
AspenValley,3969-15,NumStems,Mather,10
AspenValley,3969-15,NumStems,Timberline,1.7
AspenValley,3969-16,StemLength,Stanford,72
AspenValley,3969-16,StemLength,Mather,47
AspenValley,3969-16,StemLength,Timberline,0
AspenValley,3969-16,NumStems,Stanford,3
AspenValley,3969-16,NumStems,Mather,17.3
AspenValley,3969-16,NumStems,Timberline,0
AspenValley,3969-17,StemLength,Stanford,50
AspenValley,3969-17,StemLength,Mather,53
AspenValley,3969-17,StemLength,Timberline,31
AspenValley,3969-17,NumStems,Stanford,8
AspenValley,3969-17,NumStems,Mather,32.7
AspenValley,3969-17,NumStems,Timberline,1.3
AspenValley,3969-18,StemLength,Stanford,49
AspenValley,3969-18,StemLength,Mather,62
AspenValley,3969-18,StemLength,Timberline,15
AspenValley,3969-18,NumStems,Stanford,0.7
AspenValley,3969-18,NumStems,Mather,16.3
AspenValley,3969-18,NumStems,Timberline,0.3
AspenValley,3969-19,StemLength,Stanford,29
AspenValley,3969-19,StemLength,Mather,75
AspenValley,3969-19,StemLength,Timberline,0
AspenValley,3969-19,NumStems,Stanford,1
AspenValley,3969-19,NumStems,Mather,14
AspenValley,3969-19,NumStems,Timberline,0
AspenValley,3969-20,StemLength,Stanford,37
AspenValley,3969-20,StemLength,Mather,63
AspenValley,3969-20,StemLength,Timberline,40
AspenValley,3969-20,NumStems,Stanford,12
AspenValley,3969-20,NumStems,Mather,31.7
AspenValley,3969-20,NumStems,Timberline,2.7
AspenValley,3969-21,StemLength,Stanford,34
AspenValley,3969-21,StemLength,Mather,64
AspenValley,3969-21,StemLength,Timberline,0
AspenValley,3969-21,NumStems,Stanford,0.5
AspenValley,3969-21,NumStems,Mather,18.7
AspenValley,3969-21,NumStems,Timberline,0
AspenValley,3969-22,StemLength,Stanford,55
AspenValley,3969-22,StemLength,Mather,81
AspenValley,3969-22,StemLength,Timberline,34
AspenValley,3969-22,NumStems,Stanford,5.3
AspenValley,3969-22,NumStems,Mather,40.7
AspenValley,3969-22,NumStems,Timberline,3
AspenValley,3969-23,StemLength,Stanford,49
AspenValley,3969-23,StemLength,Mather,47
AspenValley,3969-23,StemLength,Timberline,0
AspenValley,3969-23,NumStems,Stanford,1.3
AspenValley,3969-23,NumStems,Mather,11.3
AspenValley,3969-23,NumStems,Timberline,0.5
AspenValley,3969-24,StemLength,Stanford,63
AspenValley,3969-24,StemLength,Mather,73
AspenValley,3969-24,StemLength,Timberline,10
AspenValley,3969-24,NumStems,Stanford,4.7
AspenValley,3969-24,NumStems,Mather,40
AspenValley,3969-24,NumStems,Timberline,0.3
AspenValley,3969-25,StemLength,Stanford,46
AspenValley,3969-25,StemLength,Mather,61
AspenValley,3969-25,StemLength,Timberline,21
AspenValley,3969-25,NumStems,Stanford,2.3
AspenValley,3969-25,NumStems,Mather,20.7
AspenValley,3969-25,NumStems,Timberline,1
AspenValley,3969-26,StemLength,Stanford,49
AspenValley,3969-26,StemLength,Mather,57
AspenValley,3969-26,StemLength,Timberline,0
AspenValley,3969-26,NumStems,Stanford,10.7
AspenValley,3969-26,NumStems,Mather,35
AspenValley,3969-26,NumStems,Timberline,0.5
AspenValley,3969-27,StemLength,Stanford,52
AspenValley,3969-27,StemLength,Mather,60
AspenValley,3969-27,StemLength,Timberline,22
AspenValley,3969-27,NumStems,Stanford,2.7
AspenValley,3969-27,NumStems,Mather,3.3
AspenValley,3969-27,NumStems,Timberline,2.7
AspenValley,3969-28,StemLength,Stanford,36
AspenValley,3969-28,StemLength,Mather,77
AspenValley,3969-28,StemLength,Timberline,0
AspenValley,3969-28,NumStems,Stanford,1
AspenValley,3969-28,NumStems,Mather,14.3
AspenValley,3969-28,NumStems,Timberline,0
AspenValley,3969-29,StemLength,Stanford,46
AspenValley,3969-29,StemLength,Mather,45
AspenValley,3969-29,StemLength,Timberline,0
AspenValley,3969-29,NumStems,Stanford,4
AspenValley,3969-29,NumStems,Mather,8.3
AspenValley,3969-29,NumStems,Timberline,0
AspenValley,3969-30,StemLength,Stanford,40
AspenValley,3969-30,StemLength,Mather,55
AspenValley,3969-30,StemLength,Timberline,0
AspenValley,3969-30,NumStems,Stanford,6
AspenValley,3969-30,NumStems,Mather,7.7
AspenValley,3969-30,NumStems,Timberline,0
BighornLake,3780-101,StemLength,Stanford,0
BighornLake,3780-101,StemLength,Mather,0
BighornLake,3780-101,StemLength,Timberline,16
BighornLake,3780-101,NumStems,Stanford,0
BighornLake,3780-101,NumStems,Mather,0
BighornLake,3780-101,NumStems,Timberline,0
BighornLake,3780-102,StemLength,Stanford,15
BighornLake,3780-102,StemLength,Mather,26
BighornLake,3780-102,StemLength,Timberline,20
BighornLake,3780-102,NumStems,Stanford,12.3
BighornLake,3780-102,NumStems,Mather,10
BighornLake,3780-102,NumStems,Timberline,1.7
BighornLake,3780-103,StemLength,Stanford,17
BighornLake,3780-103,StemLength,Mather,28
BighornLake,3780-103,StemLength,Timberline,0
BighornLake,3780-103,NumStems,Stanford,9.7
BighornLake,3780-103,NumStems,Mather,14
BighornLake,3780-103,NumStems,Timberline,0
BighornLake,3780-104,StemLength,Stanford,10
BighornLake,3780-104,StemLength,Mather,0
BighornLake,3780-104,StemLength,Timberline,22
BighornLake,3780-104,NumStems,Stanford,1.3
BighornLake,3780-104,NumStems,Mather,0
BighornLake,3780-104,NumStems,Timberline,5.3
BighornLake,3780-105,StemLength,Stanford,15
BighornLake,3780-105,StemLength,Mather,0
BighornLake,3780-105,StemLength,Timberline,23
BighornLake,3780-105,NumStems,Stanford,0.7
BighornLake,3780-105,NumStems,Mather,0
BighornLake,3780-105,NumStems,Timberline,3.3
BighornLake,3780-106,StemLength,Stanford,0
BighornLake,3780-106,StemLength,Mather,20
